Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-08-15,13760.48047,13774.98047,13611.94043,13631.04981,13631.04981,4473320000,222
2023-08-16,13593.16992,13644.32031,13473.03027,13474.62988,13474.62988,6243760000,223
2023-08-17,13527.29981,13535.08984,13303.4502,13316.92969,13316.92969,5280180000,224
2023-08-18,13190.01953,13335.87012,13161.75977,13290.78027,13290.78027,4801910000,225
2023-08-21,13347.25977,13516.86035,13325.58984,13497.58984,13497.58984,4363070000,226
2023-08-22,13593.9502,13598.76953,13484.37988,13505.87012,13505.87012,4282430000,227
2023-08-23,13532.42969,13757,13532.42969,13721.03027,13721.03027,4127850000,228
2023-08-24,13834.30957,13834.69043,13462.83984,13463.96973,13463.96973,4383820000,229
2023-08-25,13514.37012,13633.41992,13376.34961,13590.65039,13590.65039,3970060000,230
2023-08-28,13695.36035,13735.98047,13626.63965,13705.12988,13705.12988,3666680000,231
2023-08-29,13687.23047,13959.80957,13677.05957,13943.75977,13943.75977,4748180000,232
2023-08-30,13961.76953,14050.82031,13924.2002,14019.30957,14019.30957,4364600000,233
2023-08-31,14041.54004,14114.66992,14010.48047,14034.96973,14034.96973,4568610000,234
2023-09-01,14129.95996,14149.62012,13982.41992,14031.80957,14031.80957,4033960000,235
2023-09-05,13994.54004,14060.84961,13945.65039,14020.9502,14020.9502,4379790000,236
2023-09-06,13988.80957,14001.9502,13802.41992,13872.46973,13872.46973,4215320000,237
2023-09-07,13675.11035,13774.62988,13642.46973,13748.83008,13748.83008,4320830000,238
2023-09-08,13754.70996,13843.37012,13733.17969,13761.53027,13761.53027,4160360000,239
2023-09-11,13884.03027,13937.46973,13805.12988,13917.88965,13917.88965,4538870000,240
2023-09-12,13858.94043,13913.59961,13763.69043,13773.61035,13773.61035,4595490000,241
2023-09-13,13773.66992,13868.57031,13733.82031,13813.58984,13813.58984,4840310000,242
2023-09-14,13889.75977,13957.57031,13810.66016,13926.04981,13926.04981,4649010000,243
2023-09-15,13889.2002,13895.75,13684.24023,13708.33008,13708.33008,8162210000,244
2023-09-18,13669.95996,13751.28027,13663.45996,13710.24023,13710.24023,4855880000,245
2023-09-19,13649.44043,13705.15039,13578.87012,13678.19043,13678.19043,4453460000,246
2023-09-20,13710.25977,13727.80957,13467.28027,13469.12988,13469.12988,4782440000,247
2023-09-21,13328.05957,13362.23047,13222.55957,13223.98047,13223.98047,5014890000,248
2023-09-22,13287.16992,13353.21973,13200.63965,13211.80957,13211.80957,4302700000,249
2023-09-25,13172.54004,13277.83008,13132,13271.32031,13271.32031,4100290000,250
2023-09-26,13181,13199.13379,13090.41016,13131.75488,13131.75488,2208393000,251
